id,team,sensor,mac,temp,humidity,aqi,tvoc,eco2,created_at,lat,lon,sender,rssi,timestamp
11102,team 5,opensrc_team2,B8:27:EB:D3:40:06,20.06,39.08,1,20,400,32:51.0,36.6301668,127.4561421,,-89,
11103,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.41,31.92,1,0,400,32:50.0,36.6301668,127.4561421,,-63,
11104,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.39,31.86,1,0,400,32:52.0,36.6301668,127.4561421,,-60,
11105,team 5,opensrc_team2,B8:27:EB:D3:40:06,20.06,39.08,1,20,400,32:51.0,36.6301668,127.4561421,,-86,
11106,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.52,34.89,1,6,400,32:52.0,36.6301668,127.4561421,,-90,
11107,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.39,31.86,1,0,400,32:52.0,36.6301668,127.4561421,,-62,
11108,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.41,31.76,1,0,400,32:54.0,36.6301668,127.4561421,,-61,
11109,team 5,opensrc_team2,B8:27:EB:D3:40:06,20.13,39.33,1,33,420,32:55.0,36.6301668,127.4561421,,-90,
11110,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.41,31.76,1,0,400,32:54.0,36.6301668,127.4561421,,-60,
11111,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.35,31.65,1,0,400,32:56.0,36.6301668,127.4561421,,-61,
11112,team 5,opensrc_team2,B8:27:EB:D3:40:06,20.17,39.69,1,17,400,32:57.0,36.6301668,127.4561421,,-89,
11113,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.35,31.53,1,0,400,32:58.0,36.6301668,127.4561421,,-63,
11114,team 5,opensrc_team2,B8:27:EB:D3:40:06,20.17,39.69,1,17,400,32:57.0,36.6301668,127.4561421,,-89,
11115,team 5,opensrc_team2,B8:27:EB:D3:40:06,20.2,39.66,1,26,404,32:59.0,36.6301668,127.4561421,,-87,
11116,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.6,34.7,1,13,400,32:58.0,36.6301668,127.4561421,,-95,
11117,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.36,31.48,1,0,400,33:00.0,36.6301668,127.4561421,,-61,
11118,team 5,opensrc_team2,B8:27:EB:D3:40:06,20.2,39.66,1,26,404,32:59.0,36.6301668,127.4561421,,-91,
11119,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.36,31.48,1,0,400,33:00.0,36.6301668,127.4561421,,-61,
11120,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.63,35.29,1,15,400,33:02.0,36.6301668,127.4561421,,-89,
11121,team 5,opensrc_team2,B8:27:EB:D3:40:06,20.21,39.54,1,26,405,33:03.0,36.6301668,127.4561421,,-87,
11122,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.64,35.41,1,2,400,33:04.0,36.6301668,127.4561421,,-89,
11123,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.41,31.45,1,0,400,33:02.0,36.6301668,127.4561421,,-61,
11124,team 5,opensrc_team2,B8:27:EB:D3:40:06,20.22,39.12,1,31,416,33:05.0,36.6301668,127.4561421,,-90,
11125,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.41,31.45,1,0,400,33:02.0,36.6301668,127.4561421,,-61,
